subj_id,model,promptstyle,nperms,alph,prob_type,prob_ind,response_string
1,human,human,np_10,alph_1,succ,4.0,gyik
1,human,human,np_10,alph_5,add_letter,9.0,fgrij
1,human,human,np_10,alph_3,attn,9.0,aaaa
1,human,human,np_10,alph_0,fix_alphabet,3.0,elgai
1,human,human,np_10,alph_2,remove_redundant,7.0,vhefg
1,human,human,np_10,alph_6,sort,7.0,qytpr
1,human,human,np_10,alph_4,pred,1.0,g c d e
1,human,human,np_5,alph_0,add_letter,2.0,bqpur
1,human,human,np_5,alph_5,succ,9.0,uywv
1,human,human,np_5,alph_4,pred,6.0,qstu
1,human,human,np_5,alph_3,attn,9.0,a a a a
1,human,human,np_5,alph_1,fix_alphabet,7.0,dofgi
1,human,human,np_5,alph_2,sort,3.0,ogfji
1,human,human,np_5,alph_6,remove_redundant,2.0,ghijr
1,human,human,np_symb,symb_1,pred,5.0,!)<A
1,human,human,np_symb,symb_0,succ,4.0,* @ = <
2,human,human,np_20,alph_4,pred,5.0,n
2,human,human,np_20,alph_6,succ,9.0,l
2,human,human,np_20,alph_0,add_letter,9.0,i
2,human,human,np_20,alph_2,attn,7.0,aaa
2,human,human,np_20,alph_5,fix_alphabet,9.0,khlw
2,human,human,np_20,alph_1,remove_redundant,0.0,ooflu
2,human,human,np_20,alph_3,sort,3.0,jmxuq
2,human,human,np_symb,symb_1,succ,1.0,&>$!&
2,human,human,np_symb,symb_0,pred,7.0,* @ = &> &
2,human,human,np_1,alph_1,fix_alphabet,1.0,o d e f g h
2,human,human,np_1,alph_2,sort,7.0,a d c b e f
2,human,human,np_1,alph_5,attn,2.0,aaa
2,human,human,np_1,alph_4,pred,3.0,g h i j k
2,human,human,np_1,alph_3,remove_redundant,3.0,n o o p q r p
2,human,human,np_1,alph_6,succ,1.0,e f g h i
2,human,human,np_1,alph_0,add_letter,5.0,t u v w x
3,human,human,np_symb,symb_0,succ,0.0,) * @&
3,human,human,np_symb,symb_1,pred,8.0,&$!+)
3,human,human,np_2,alph_0,add_letter,4.0,u c d e f 
3,human,human,np_2,alph_3,fix_alphabet,5.0,b w x q z
3,human,human,np_2,alph_2,attn,2.0,a a a a
3,human,human,np_2,alph_1,pred,4.0,h j k b
3,human,human,np_2,alph_6,remove_redundant,8.0,t u v w x
3,human,human,np_2,alph_5,succ,1.0,h i j f
3,human,human,np_2,alph_4,sort,5.0,m n o p q
3,human,human,np_1,alph_5,add_letter,9.0,o p q r s
3,human,human,np_1,alph_6,sort,8.0,s p r q o
3,human,human,np_1,alph_0,fix_alphabet,2.0,y q r i t
3,human,human,np_1,alph_1,attn,9.0,a a a a
3,human,human,np_1,alph_3,remove_redundant,2.0,o p q r s
3,human,human,np_1,alph_2,succ,1.0,p q r t
3,human,human,np_1,alph_4,pred,7.0,u w x y
4,human,human,np_symb,symb_1,pred,6.0,)@=*
4,human,human,np_symb,symb_0,succ,8.0,)*@&
4,human,human,np_10,alph_3,add_letter,6.0,amcpz
4,human,human,np_10,alph_1,pred,1.0,prsu
4,human,human,np_10,alph_5,succ,4.0,nhqs
4,human,human,np_10,alph_6,sort,2.0,nhpqt
4,human,human,np_10,alph_0,remove_redundant,2.0,oghin
4,human,human,np_10,alph_4,fix_alphabet,4.0,phnsj
4,human,human,np_10,alph_2,attn,9.0,aaaa
4,human,human,np_2,alph_6,add_letter,2.0,dmfgh
4,human,human,np_2,alph_1,succ,3.0,efgi
4,human,human,np_2,alph_0,attn,2.0,aaaa
4,human,human,np_2,alph_3,remove_redundant,8.0,fghij
4,human,human,np_2,alph_4,fix_alphabet,1.0,ecghi
4,human,human,np_2,alph_2,pred,5.0,qwtu
4,human,human,np_2,alph_5,sort,4.0,lghij
5,human,human,np_2,alph_6,attn,4.0,aaaa
5,human,human,np_2,alph_4,sort,8.0,kjlmn
5,human,human,np_2,alph_1,remove_redundant,4.0,alcde
5,human,human,np_2,alph_5,succ,2.0,uvwy
5,human,human,np_2,alph_2,add_letter,4.0,nopgr
5,human,human,np_2,alph_3,fix_alphabet,6.0,pvwoq
5,human,human,np_2,alph_0,pred,8.0,ppqr
5,human,human,np_symb,symb_1,succ,0.0,+)<@=
5,human,human,np_symb,symb_0,pred,3.0,*=&<
5,human,human,np_20,alph_3,add_letter,3.0,qnyak
5,human,human,np_20,alph_6,fix_alphabet,1.0,mtisb
5,human,human,np_20,alph_4,pred,0.0,cezb
5,human,human,np_20,alph_0,sort,0.0,xcivm
5,human,human,np_20,alph_2,attn,2.0,aaaa
5,human,human,np_20,alph_1,remove_redundant,6.0,fluvp
5,human,human,np_20,alph_5,succ,0.0,nxyz
6,human,human,np_symb,symb_1,pred,7.0,&$!+
6,human,human,np_symb,symb_0,succ,5.0,=&<!
6,human,human,np_1,alph_1,sort,5.0,tusqr
6,human,human,np_1,alph_5,succ,5.0,defh
6,human,human,np_1,alph_2,add_letter,6.0,ghijk
6,human,human,np_1,alph_4,fix_alphabet,5.0,werst
6,human,human,np_1,alph_3,attn,0.0,fghj
6,human,human,np_1,alph_0,pred,5.0,kmno
6,human,human,np_1,alph_6,remove_redundant,2.0,abcde
6,human,human,np_2,alph_6,fix_alphabet,5.0,lenop
6,human,human,np_2,alph_3,add_letter,2.0,jklmn
6,human,human,np_2,alph_0,pred,8.0,npqr
6,human,human,np_2,alph_1,sort,1.0,alcde
6,human,human,np_2,alph_5,remove_redundant,4.0,jkfmn
6,human,human,np_2,alph_4,succ,1.0,fdeg
6,human,human,np_2,alph_2,attn,4.0,aaaa
7,human,human,np_1,alph_2,add_letter,0.0,nopqr
7,human,human,np_1,alph_6,pred,9.0,Vxyz
7,human,human,np_1,alph_4,sort,2.0,abcde
7,human,human,np_1,alph_1,remove_redundant,0.0,defgh
7,human,human,np_1,alph_3,attn,2.0,aaaa
7,human,human,np_1,alph_5,succ,7.0,ghik
7,human,human,np_1,alph_0,fix_alphabet,7.0,bcdef
7,human,human,np_5,alph_0,sort,4.0,defgh
7,human,human,np_5,alph_1,fix_alphabet,4.0,qxstu
7,human,human,np_5,alph_4,add_letter,2.0,eqpst
7,human,human,np_5,alph_6,succ,4.0,makq
7,human,human,np_5,alph_2,pred,3.0,kanh
7,human,human,np_5,alph_5,remove_redundant,7.0,ywxvi
7,human,human,np_5,alph_3,attn,9.0,aaaa
7,human,human,np_symb,symb_0,pred,8.0,)@=]
7,human,human,np_symb,symb_1,succ,7.0,$!)<
8,human,human,np_symb,symb_0,succ,2.0,=&<!
8,human,human,np_symb,symb_1,pred,2.0,>!+)
8,human,human,np_1,alph_4,attn,6.0,aaaa
8,human,human,np_1,alph_3,add_letter,1.0,mnopq
8,human,human,np_1,alph_0,sort,8.0,vtwsu
8,human,human,np_1,alph_6,remove_redundant,2.0,abcde
8,human,human,np_1,alph_5,succ,5.0,defh
8,human,human,np_1,alph_2,pred,0.0,gijk
8,human,human,np_1,alph_1,fix_alphabet,9.0,stuvw
